Industry,City,State,Zip Code,Latitude,Longitude,Major 1,Major 2,Major 3,Major 4,Major 5,Class Year,Class Year Date
"Libraries, Archives, and Museums",Grand Rapids,MI,49504,42.9880623,-85.7153754,History,Medieval & Renaissance Studies,,,,2007,1/1/2007
"Libraries, Archives, and Museums",Grand Rapids,MI,49504,42.9880623,-85.7153754,No Major,,,,,1959,1/1/1959
Environment and Recreation,Grand Rapids,MI,49505,43.0043693,-85.6332093,Geology,Natural History,,,,1986,1/1/1986
"Banking, Finance, and Investment",Grand Rapids,MI,49506,42.9411011,-85.6100387,Art History,,,,,1983,1/1/1983
Communications and Media,Grand Rapids,MI,49506,42.9411011,-85.6100387,No Major,,,,,1975,1/1/1975
Environment and Recreation,Grand Rapids,MI,49506,42.9411011,-85.6100387,Biology,,,,,1983,1/1/1983
Sciences,Grand Rapids,MI,49506,42.9411011,-85.6100387,Chemistry,,,,,1996,1/1/1996
Research and Development,Grand Rapids,MI,49525,43.0314956,-85.5817911,Chemistry,,,,,1979,1/1/1979
"Banking, Finance, and Investment",Grand Rapids,MI,49546,42.9219281,-85.5097226,Economics,,,,,1997,1/1/1997
Legal Professions,Grand Rapids,MI,49546,42.9219281,-85.5097226,History,,,,,1989,1/1/1989
Marketing,Grand Rapids,MI,49546,42.9219281,-85.5097226,No Major,,,,,1990,1/1/1990
Healthcare,Arcadia,MI,49613,44.4919144,-86.2353862,Spanish,,,,,1958,1/1/1958
Sciences,Central Lake,MI,49622,45.0700047,-85.2645105,History,,,,,1980,1/1/1980
Arts and Design,Frankfort,MI,49635,44.6336096,-86.2345396,Philosophy,,,,,1963,1/1/1963
Legal Professions,Traverse City,MI,49684,44.7630567,-85.6206317,History,African/African-American Studies,African/African-American Studies,,,1996,1/1/1996
Arts and Design,Traverse City,MI,49686,44.7630567,-85.6206317,History,,,,,1974,1/1/1974
Business and Commerce,Traverse City,MI,49686,44.7630567,-85.6206317,Spanish,,,,,1951,1/1/1951
Homemaking,Traverse City,MI,49686,44.7630567,-85.6206317,Geography,,,,,1948,1/1/1948
Volunteering,Traverse City,MI,49686,44.7630567,-85.6206317,Geology,,,,,1983,1/1/1983
Other,Traverse City,MI,49696,44.6684298,-85.4994192,Economics,,,,,1985,1/1/1985
Computers/IT,Harbor Springs,MI,49740,45.4316759,-84.9919992,Chemistry,,,,,1966,1/1/1966
Homemaking,Harbor Springs,MI,49740,45.4316759,-84.9919992,English,,,,,1953,1/1/1953
Student,Lewiston,MI,49756,44.8839001,-84.3055687,Physics,,,,,2005,1/1/2005
Healthcare,Petoskey,MI,49770,45.3733428,-84.9553296,Biology,,,,,1982,1/1/1982
"Libraries, Archives, and Museums",Sault Ste Marie,MI,49783,46.4977115,-84.3475876,Economics,,,,,1973,1/1/1973
Clergy and Religious Leadership,Marquette,MI,49855,46.5436199,-87.3953713,Studio Art,,,,,2003,1/1/2003
Clergy and Religious Leadership,Marquette,MI,49855,46.5436199,-87.3953713,Mathematics,,,,,1969,1/1/1969
Clergy and Religious Leadership,Marquette,MI,49855,46.5436199,-87.3953713,Classics,,,,,2003,1/1/2003
Healthcare,Marquette,MI,49855,46.5436199,-87.3953713,Biology,Biochemistry,,,,2003,1/1/2003
Performing Arts,Marquette,MI,49855,46.5436199,-87.3953713,Music,,,,,1994,1/1/1994
Other,Mohawk,MI,49950,47.3027507,-88.3642142,No Major,,,,,1961,1/1/1961
Communications and Media,Afton,MN,55001,44.9088612,-92.8377656,English,,,,,1947,1/1/1947
Healthcare,Afton,MN,55001,44.9088612,-92.8377656,Romance Languages,,,,,1977,1/1/1977
Homemaking,Afton,MN,55001,44.9088612,-92.8377656,Sociology,,,,,1948,1/1/1948
Legal Professions,Afton,MN,55001,44.9088612,-92.8377656,No Major,,,,,1969,1/1/1969
Business and Commerce,Bayport,MN,55003,45.0176335,-92.7779669,English,,,,,1977,1/1/1977
Other,Bayport,MN,55003,45.0176335,-92.7779669,Sociology,Anthropology,,,,1971,1/1/1971
Social Service,Bayport,MN,55003,45.0176335,-92.7779669,English,,,,,1958,1/1/1958
Business and Commerce,Cannon Falls,MN,55009,44.5069113,-92.905484,English,,,,,1958,1/1/1958
Business and Commerce,Cannon Falls,MN,55009,44.5069113,-92.905484,Religion,,,,,1982,1/1/1982
Business and Commerce,Circle Pines,MN,55014,45.1485771,-93.1516124,Physics,,,,,1996,1/1/1996
Computers/IT,Circle Pines,MN,55014,45.1485771,-93.1516124,No Major,,,,,1966,1/1/1966
Healthcare,Circle Pines,MN,55014,45.1485771,-93.1516124,Chemistry,,,,,1982,1/1/1982
Social Service,Circle Pines,MN,55014,45.1485771,-93.1516124,No Major,,,,,1953,1/1/1953
Legal Professions,Lino Lakes,MN,55014,45.1914282,-93.1129236,English,,,,,1983,1/1/1983
"Banking, Finance, and Investment",Cottage Grove,MN,55016,44.8320996,-92.9175955,Economics,,,,,2009,1/1/2009
Healthcare,Cottage Grove,MN,55016,44.8320996,-92.9175955,Biology,Neuroscience,,,,2015,1/1/2015
Business and Commerce,Dennison,MN,55018,44.4069101,-93.0393771,Economics,,,,,1981,1/1/1981
Environment and Recreation,Dennison,MN,55018,44.4069101,-93.0393771,Biology,,,,,1976,1/1/1976
Healthcare,Faribault,MN,55021,44.2949636,-93.268827,Chemistry,,,,,1993,1/1/1993
Insurance,Faribault,MN,55021,44.2949636,-93.268827,Psychology,,,,,1998,1/1/1998
"Libraries, Archives, and Museums",Faribault,MN,55021,44.2949636,-93.268827,Political Science,,,,,1982,1/1/1982
Legal Professions,Farmington,MN,55024,44.6402434,-93.1435497,Sociology,Anthropology,,,,1984,1/1/1984
Sciences,Farmington,MN,55024,44.6402434,-93.1435497,Chemistry,Biochemistry,,,,2015,1/1/2015
"Building, Trades, and Crafts",Forest Lake,MN,55025,45.2791243,-92.9905314,No Major,,,,,1961,1/1/1961
Social Sciences,Forest Lake,MN,55025,45.2791243,-92.9905314,Sociology,Anthropology,,,,1984,1/1/1984
Military/Protective Services,Harris,MN,55032,45.5860723,-92.9745964,Sociology,Anthropology,,,,1982,1/1/1982
"Banking, Finance, and Investment",Hastings,MN,55033,44.7443293,-92.8513706,Political Science,,,,,1982,1/1/1982
Computers/IT,Hastings,MN,55033,44.7443293,-92.8513706,Biology,,,,,1999,1/1/1999
Engineering,Hastings,MN,55033,44.7443293,-92.8513706,Physics,,,,,2002,1/1/2002
Environment and Recreation,Hastings,MN,55033,44.7443293,-92.8513706,Biology,,,,,1963,1/1/1963
Environment and Recreation,Hastings,MN,55033,44.7443293,-92.8513706,Economics,Technology and Policy Studies,,,,1991,1/1/1991
Agriculture and Forestry,Hinckley,MN,55037,46.015,-92.9388889,Religion,,,,,2011,1/1/2011
Clergy and Religious Leadership,Hugo,MN,55038,45.1668854,-92.9788268,Sociology,,,,,1967,1/1/1967
Computers/IT,Hugo,MN,55038,45.1668854,-92.9788268,Philosophy,,,,,1985,1/1/1985
Counseling,Hugo,MN,55038,45.1668854,-92.9788268,No Major,,,,,1960,1/1/1960
Fundraising,Hugo,MN,55038,45.1668854,-92.9788268,History,,,,,1979,1/1/1979
Legal Professions,Hugo,MN,55038,45.1668854,-92.9788268,Biology,,,,,1999,1/1/1999
Legal Professions,Hugo,MN,55038,45.1668854,-92.9788268,English,,,,,1985,1/1/1985
"Banking, Finance, and Investment",Lake Elmo,MN,55042,44.9957998,-92.8793768,Political Science,,,,,1977,1/1/1977
"Banking, Finance, and Investment",Lake Elmo,MN,55042,44.9957998,-92.8793768,History,,,,,1978,1/1/1978
"Banking, Finance, and Investment",Lake Elmo,MN,55042,44.9957998,-92.8793768,Economics,,,,,1984,1/1/1984
"Banking, Finance, and Investment",Lake Elmo,MN,55042,44.9957998,-92.8793768,Economics,,,,,1992,1/1/1992
Environment and Recreation,Lake Elmo,MN,55042,44.9957998,-92.8793768,Biology,Environmental Studies,,,,2011,1/1/2011
Healthcare,Lake Elmo,MN,55042,44.9957998,-92.8793768,Physics,,,,,1979,1/1/1979
Homemaking,Lake Elmo,MN,55042,44.9957998,-92.8793768,Economics,"Science, Technology, and Public Policy",,,,1984,1/1/1984
"Banking, Finance, and Investment",Lakeville,MN,55044,44.6349165,-93.2784825,Political Science,,,,,1996,1/1/1996
"Banking, Finance, and Investment",Lakeville,MN,55044,44.6349165,-93.2784825,English,,,,,1996,1/1/1996
"Banking, Finance, and Investment",Lakeville,MN,55044,44.6349165,-93.2784825,History,,,,,1989,1/1/1989
"Banking, Finance, and Investment",Lakeville,MN,55044,44.6349165,-93.2784825,Economics,,,,,2009,1/1/2009
"Banking, Finance, and Investment",Lakeville,MN,55044,44.6349165,-93.2784825,Latin,,,,,1986,1/1/1986
Business and Commerce,Lakeville,MN,55044,44.6349165,-93.2784825,Political Science,,,,,2017,1/1/2017
Computers/IT,Lakeville,MN,55044,44.6349165,-93.2784825,Physics,,,,,1988,1/1/1988
Healthcare,Lakeville,MN,55044,44.6349165,-93.2784825,Psychology,,,,,2011,1/1/2011
Homemaking,Lakeville,MN,55044,44.6349165,-93.2784825,Mathematics,,,,,1985,1/1/1985
Insurance,Lakeville,MN,55044,44.6349165,-93.2784825,Mathematics,Computer Science,,,,1993,1/1/1993
Marketing,Lakeville,MN,55044,44.6349165,-93.2784825,Art History,Studio Art,,,,2004,1/1/2004
Military/Protective Services,Lakeville,MN,55044,44.6349165,-93.2784825,Political Science,,,,,1990,1/1/1990
Sciences,Lakeville,MN,55044,44.6349165,-93.2784825,Chemistry,Medieval & Renaissance Studies,,,,2009,1/1/2009
Social Service,Lakeville,MN,55044,44.6349165,-93.2784825,History,,,,,1977,1/1/1977
Student,Lakeville,MN,55044,44.6349165,-93.2784825,Biology,,,,,1995,1/1/1995
Computers/IT,Marine On Saint Croix,MN,55047,45.1984344,-92.770531,Computer Science,,,,,2003,1/1/2003
Agriculture and Forestry,Mora,MN,55051,45.8769031,-93.2938352,Political Science,,,,,1980,1/1/1980
Marketing,Mora,MN,55051,45.8769031,-93.2938352,Latin American Studies,,,,,1994,1/1/1994
Counseling,Nerstrand,MN,55053,44.3419094,-93.067988,American Studies,,,,,1992,1/1/1992
Social Service,Nerstrand,MN,55053,44.3419094,-93.067988,Art History,Media Studies,,,,1998,1/1/1998
Other,Newport,MN,55055,44.8719676,-93.0025615,No Major,,,,,1993,1/1/1993
Agriculture and Forestry,Northfield,MN,55057,44.4582983,-93.161604,Philosophy,,,,,1957,1/1/1957
Agriculture and Forestry,Northfield,MN,55057,44.4582983,-93.161604,History,,,,,1986,1/1/1986
Agriculture and Forestry,Northfield,MN,55057,44.4582983,-93.161604,Biology,,,,,1969,1/1/1969
Arts and Design,Northfield,MN,55057,44.4582983,-93.161604,English,,,,,1968,1/1/1968
Arts and Design,Northfield,MN,55057,44.4582983,-93.161604,Geology,,,,,2017,1/1/2017
Arts and Design,Northfield,MN,55057,44.4582983,-93.161604,Computer Science,Media Studies,,,,2003,1/1/2003
"Banking, Finance, and Investment",Northfield,MN,55057,44.4582983,-93.161604,Political Science,,,,,1972,1/1/1972
"Building, Trades, and Crafts",Northfield,MN,55057,44.4582983,-93.161604,Morgan Fellow,,,,,1983,1/1/1983
"Building, Trades, and Crafts",Northfield,MN,55057,44.4582983,-93.161604,Religion,,,,,1987,1/1/1987
Business and Commerce,Northfield,MN,55057,44.4582983,-93.161604,Biology,,,,,1975,1/1/1975
Business and Commerce,Northfield,MN,55057,44.4582983,-93.161604,No Major,,,,,1994,1/1/1994
Business and Commerce,Northfield,MN,55057,44.4582983,-93.161604,History,Medieval Studies,,,,1991,1/1/1991
Business and Commerce,Northfield,MN,55057,44.4582983,-93.161604,Studio Art,,,,,1996,1/1/1996
Clergy and Religious Leadership,Northfield,MN,55057,44.4582983,-93.161604,Religion,,,,,1982,1/1/1982
Communications and Media,Northfield,MN,55057,44.4582983,-93.161604,English,,,,,1973,1/1/1973
Communications and Media,Northfield,MN,55057,44.4582983,-93.161604,Japanese,,,,,2003,1/1/2003
Communications and Media,Northfield,MN,55057,44.4582983,-93.161604,History,,,,,1972,1/1/1972
Communications and Media,Northfield,MN,55057,44.4582983,-93.161604,Political Science,,,,,2018,1/1/2018
Communications and Media,Northfield,MN,55057,44.4582983,-93.161604,Psychology,,,,,1989,1/1/1989
Computers/IT,Northfield,MN,55057,44.4582983,-93.161604,Studio Art,,,,,1946,1/1/1946
Counseling,Northfield,MN,55057,44.4582983,-93.161604,Religion,,,,,1974,1/1/1974
Counseling,Northfield,MN,55057,44.4582983,-93.161604,Psychology,,,,,1962,1/1/1962
Education,Northfield,MN,55057,44.4582983,-93.161604,Mathematics,,,,,1992,1/1/1992
Education,Northfield,MN,55057,44.4582983,-93.161604,Psychology,,,,,2004,1/1/2004
Engineering,Northfield,MN,55057,44.4582983,-93.161604,Chemistry,,,,,2015,1/1/2015
Engineering,Northfield,MN,55057,44.4582983,-93.161604,No Major,,,,,1963,1/1/1963
Fundraising,Northfield,MN,55057,44.4582983,-93.161604,History,,,,,1994,1/1/1994
Fundraising,Northfield,MN,55057,44.4582983,-93.161604,Art History,,,,,1985,1/1/1985
Fundraising,Northfield,MN,55057,44.4582983,-93.161604,Computer Science,,,,,2019,1/1/2019
Fundraising,Northfield,MN,55057,44.4582983,-93.161604,English,Media Studies,,,,1994,1/1/1994
Fundraising,Northfield,MN,55057,44.4582983,-93.161604,Economics,,,,,1989,1/1/1989
Healthcare,Northfield,MN,55057,44.4582983,-93.161604,Mathematics,,,,,1967,1/1/1967
Healthcare,Northfield,MN,55057,44.4582983,-93.161604,History,Latin American Studies Conc.,,,,2000,1/1/2000
Homemaking,Northfield,MN,55057,44.4582983,-93.161604,Sociology,,,,,1958,1/1/1958
Homemaking,Northfield,MN,55057,44.4582983,-93.161604,Studio Art,,,,,1953,1/1/1953
Insurance,Northfield,MN,55057,44.4582983,-93.161604,No Major,,,,,1954,1/1/1954
Legal Professions,Northfield,MN,55057,44.4582983,-93.161604,Political Science,,,,,1988,1/1/1988
Legal Professions,Northfield,MN,55057,44.4582983,-93.161604,Political Science,,,,,1988,1/1/1988
Legal Professions,Northfield,MN,55057,44.4582983,-93.161604,Political Science,,,,,2000,1/1/2000
Legal Professions,Northfield,MN,55057,44.4582983,-93.161604,English,,,,,2008,1/1/2008
Legal Professions,Northfield,MN,55057,44.4582983,-93.161604,Philosophy,,,,,1968,1/1/1968
Legal Professions,Northfield,MN,55057,44.4582983,-93.161604,Philosophy,,,,,1990,1/1/1990
"Libraries, Archives, and Museums",Northfield,MN,55057,44.4582983,-93.161604,American Studies,Educational Studies,,,,2005,1/1/2005
"Libraries, Archives, and Museums",Northfield,MN,55057,44.4582983,-93.161604,English,,,,,1971,1/1/1971
"Libraries, Archives, and Museums",Northfield,MN,55057,44.4582983,-93.161604,Psychology,,,,,1992,1/1/1992
"Libraries, Archives, and Museums",Northfield,MN,55057,44.4582983,-93.161604,Sociology,Anthropology,,,,2008,1/1/2008
Military/Protective Services,Northfield,MN,55057,44.4582983,-93.161604,No Major,,,,,1983,1/1/1983
Other,Northfield,MN,55057,44.4582983,-93.161604,No Major,,,,,1960,1/1/1960
Other,Northfield,MN,55057,44.4582983,-93.161604,No Major,,,,,1979,1/1/1979
Other,Northfield,MN,55057,44.4582983,-93.161604,Political Science,,,,,1977,1/1/1977
Other,Northfield,MN,55057,44.4582983,-93.161604,Sociology,,,,,1969,1/1/1969
Performing Arts,Northfield,MN,55057,44.4582983,-93.161604,Biology,,,,,1972,1/1/1972
Performing Arts,Northfield,MN,55057,44.4582983,-93.161604,History,,,,,1970,1/1/1970
Planning,Northfield,MN,55057,44.4582983,-93.161604,Political Science,,,,,1987,1/1/1987
Planning,Northfield,MN,55057,44.4582983,-93.161604,Art History,,,,,1974,1/1/1974
Public Service,Northfield,MN,55057,44.4582983,-93.161604,No Major,,,,,1972,1/1/1972
Real Estate,Northfield,MN,55057,44.4582983,-93.161604,Sociology,Anthropology,,,,1974,1/1/1974
Sciences,Northfield,MN,55057,44.4582983,-93.161604,Chemistry,"Science, Technology, and Public Policy",,,,1990,1/1/1990
Sciences,Northfield,MN,55057,44.4582983,-93.161604,Chemistry,,,,,1964,1/1/1964
Social Service,Northfield,MN,55057,44.4582983,-93.161604,Biology,Latin American Studies Conc.,,,,2007,1/1/2007
Social Service,Northfield,MN,55057,44.4582983,-93.161604,Religion,,,,,1984,1/1/1984
Social Service,Northfield,MN,55057,44.4582983,-93.161604,Latin American Studies,,,,,1997,1/1/1997
Sports,Northfield,MN,55057,44.4582983,-93.161604,Sociology,Anthropology,Educational Studies,,,2009,1/1/2009
Student,Northfield,MN,55057,44.4582983,-93.161604,Geology,,,,,2001,1/1/2001
Student,Northfield,MN,55057,44.4582983,-93.161604,Biology,,,,,2004,1/1/2004
Education,Owatonna,MN,55060,44.0855572,-93.2259349,Physics,,,,,1992,1/1/1992
Legal Professions,Owatonna,MN,55060,44.0855572,-93.2259349,No Major,,,,,1982,1/1/1982
"Libraries, Archives, and Museums",Owatonna,MN,55060,44.0855572,-93.2259349,Music,,,,,2004,1/1/2004
"Building, Trades, and Crafts",Pine City,MN,55063,45.8229105,-92.9703435,Geology,Archaeology,,,,1998,1/1/1998
Other,Pine City,MN,55063,45.8229105,-92.9703435,American Studies,,,,,1989,1/1/1989
Communications and Media,Red Wing,MN,55066,44.5027689,-92.5594214,Political Science,,,,,1974,1/1/1974
Communications and Media,Red Wing,MN,55066,44.5027689,-92.5594214,History,,,,,1978,1/1/1978
Education,Red Wing,MN,55066,44.5027689,-92.5594214,Mathematics,,,,,1987,1/1/1987
Legal Professions,Red Wing,MN,55066,44.5027689,-92.5594214,Political Science,,,,,1986,1/1/1986
Legal Professions,Red Wing,MN,55066,44.5027689,-92.5594214,No Major,,,,,1958,1/1/1958
Insurance,Rosemount,MN,55068,44.7394103,-93.1257723,French,,,,,2001,1/1/2001
Legal Professions,Rosemount,MN,55068,44.7394103,-93.1257723,English,,,,,1995,1/1/1995
Computers/IT,Scandia,MN,55073,45.2741089,-92.8181038,Psychology,,,,,1974,1/1/1974
Marketing,Scandia,MN,55073,45.2741089,-92.8181038,Art History,,,,,1988,1/1/1988
Healthcare,Inver Grove Heights,MN,55076,44.838595,-93.0275802,Psychology,,,,,1975,1/1/1975
Homemaking,Inver Grove Heights,MN,55076,44.838595,-93.0275802,Mathematics,,,,,1981,1/1/1981
Social Service,Inver Grove Heights,MN,55076,44.838595,-93.0275802,Psychology,Cognitive Science,,,,2000,1/1/2000
Healthcare,Inver Grove Heights,MN,55077,44.8478826,-93.0706128,Biology,,,,,2015,1/1/2015
Healthcare,Inver Grove Heights,MN,55077,44.8478826,-93.0706128,Biology,,,,,1989,1/1/1989
Homemaking,Inver Grove Heights,MN,55077,44.8478826,-93.0706128,No Major,,,,,1940,1/1/1940
Military/Protective Services,Inver Grove Heights,MN,55077,44.8478826,-93.0706128,Biology,,,,,2001,1/1/2001
Environment and Recreation,Stacy,MN,55079,45.3980205,-92.9874404,Biology,,,,,1984,1/1/1984
Other,Stacy,MN,55079,45.3980205,-92.9874404,Spanish,Latin American Studies Conc.,,,,1986,1/1/1986
Business and Commerce,Stanchfield,MN,55080,45.6731532,-93.1815113,No Major,,,,,1967,1/1/1967
Arts and Design,Oak Park Heights,MN,55082,45.0313559,-92.7929842,Sociology,,,,,1952,1/1/1952
Healthcare,Oak Park Heights,MN,55082,45.0313559,-92.7929842,Zoology,,,,,1954,1/1/1954
Business and Commerce,Stillwater,MN,55082,45.056004,-92.8088443,Political Science,,,,,1968,1/1/1968
Business and Commerce,Stillwater,MN,55082,45.056004,-92.8088443,Geology,,,,,1978,1/1/1978
Clergy and Religious Leadership,Stillwater,MN,55082,45.056004,-92.8088443,Religion,,,,,1979,1/1/1979
Healthcare,Stillwater,MN,55082,45.056004,-92.8088443,Chemistry,,,,,1984,1/1/1984
Healthcare,Stillwater,MN,55082,45.056004,-92.8088443,No Major,,,,,1981,1/1/1981
Healthcare,Stillwater,MN,55082,45.056004,-92.8088443,French,,,,,1998,1/1/1998
Homemaking,Stillwater,MN,55082,45.056004,-92.8088443,English,,,,,1981,1/1/1981
Homemaking,Stillwater,MN,55082,45.056004,-92.8088443,English,,,,,1949,1/1/1949
Legal Professions,Stillwater,MN,55082,45.056004,-92.8088443,Physics,,,,,1964,1/1/1964
"Libraries, Archives, and Museums",Stillwater,MN,55082,45.056004,-92.8088443,French,,,,,1972,1/1/1972
Sciences,Stillwater,MN,55082,45.056004,-92.8088443,Geology,,,,,1986,1/1/1986
Education,Wyoming,MN,55092,45.3375,-92.9980556,Sociology,,,,,1946,1/1/1946
Computers/IT,Saint Paul,MN,55101,44.9513188,-93.0901841,Political Science,,,,,1991,1/1/1991
Healthcare,Saint Paul,MN,55101,44.9513188,-93.0901841,Biology,,,,,2009,1/1/2009
Marketing,Saint Paul,MN,55101,44.9513188,-93.0901841,American Studies,,,,,2006,1/1/2006
Other,St. Paul,MN,55101,44.9513188,-93.0901841,Computer Science,,,,,1989,1/1/1989
Communications and Media,Saint Paul,MN,55102,44.9343827,-93.1127413,Political Science,,,,,2014,1/1/2014
Fundraising,Saint Paul,MN,55102,44.9343827,-93.1127413,Biology,,,,,1978,1/1/1978
Fundraising,Saint Paul,MN,55102,44.9343827,-93.1127413,Cinema and Media Studies,,,,,2018,1/1/2018
Fundraising,Saint Paul,MN,55102,44.9343827,-93.1127413,English,,,,,2003,1/1/2003
"Libraries, Archives, and Museums",Saint Paul,MN,55102,44.9343827,-93.1127413,English,,,,,1986,1/1/1986
Other,St. Paul,MN,55102,44.9343827,-93.1127413,No Major,,,,,1981,1/1/1981
Performing Arts,Saint Paul,MN,55102,44.9343827,-93.1127413,Spanish,,,,,2005,1/1/2005
Performing Arts,St. Paul,MN,55102,44.9343827,-93.1127413,Chemistry,,,,,1985,1/1/1985
Public Service,Saint Paul,MN,55102,44.9343827,-93.1127413,Political Science,African/African-American Studies,African/African-American Studies,,,1987,1/1/1987
Sciences,Saint Paul,MN,55102,44.9343827,-93.1127413,Chemistry,,,,,1998,1/1/1998
Sciences,Saint Paul,MN,55102,44.9343827,-93.1127413,Physics,,,,,1956,1/1/1956
Social Service,Saint Paul,MN,55102,44.9343827,-93.1127413,Biology,,,,,1972,1/1/1972
Performing Arts,Saint Paul,MN,55103,44.9688472,-93.1315648,English,,,,,2000,1/1/2000
Arts and Design,Saint Paul,MN,55104,44.9516643,-93.1629063,Studio Art,,,,,2011,1/1/2011
Arts and Design,Saint Paul,MN,55104,44.9516643,-93.1629063,Music,,,,,2002,1/1/2002
"Banking, Finance, and Investment",Saint Paul,MN,55104,44.9516643,-93.1629063,Economics,,,,,2011,1/1/2011
"Banking, Finance, and Investment",Saint Paul,MN,55104,44.9516643,-93.1629063,Sociology,Anthropology,,,,1992,1/1/1992
Business and Commerce,Saint Paul,MN,55104,44.9516643,-93.1629063,Biology,Environmental Studies,,,,1997,1/1/1997
Business and Commerce,Saint Paul,MN,55104,44.9516643,-93.1629063,Sociology,Anthropology,,,,1998,1/1/1998
Clergy and Religious Leadership,Saint Paul,MN,55104,44.9516643,-93.1629063,No Major,,,,,1970,1/1/1970
Clergy and Religious Leadership,Saint Paul,MN,55104,44.9516643,-93.1629063,Economics,,,,,2002,1/1/2002
Clergy and Religious Leadership,Saint Paul,MN,55104,44.9516643,-93.1629063,English,,,,,1982,1/1/1982
Computers/IT,Saint Paul,MN,55104,44.9516643,-93.1629063,Computer Science,,,,,2011,1/1/2011
Computers/IT,Saint Paul,MN,55104,44.9516643,-93.1629063,History,South Asian Studies,,,,1998,1/1/1998
Computers/IT,St. Paul,MN,55104,44.9516643,-93.1629063,No Major,,,,,1979,1/1/1979
Counseling,Saint Paul,MN,55104,44.9516643,-93.1629063,Music,,,,,1989,1/1/1989
Counseling,Saint Paul,MN,55104,44.9516643,-93.1629063,Sociology,,,,,1968,1/1/1968
Education,Saint Paul,MN,55104,44.9516643,-93.1629063,Studio Art,Art History,,,,2019,1/1/2019
Education,Saint Paul,MN,55104,44.9516643,-93.1629063,English,,,,,1979,1/1/1979
Education,Saint Paul,MN,55104,44.9516643,-93.1629063,Biology,Biochemistry,Neuroscience,,,2014,1/1/2014
Education,Saint Paul,MN,55104,44.9516643,-93.1629063,Latin American Studies,,,,,1996,1/1/1996
Engineering,Saint Paul,MN,55104,44.9516643,-93.1629063,Physics,,,,,1963,1/1/1963
Environment and Recreation,Saint Paul,MN,55104,44.9516643,-93.1629063,Political Science,,,,,1969,1/1/1969
Environment and Recreation,Saint Paul,MN,55104,44.9516643,-93.1629063,Biology,,,,,1998,1/1/1998
Fundraising,Saint Paul,MN,55104,44.9516643,-93.1629063,Art History,,,,,1986,1/1/1986
Insurance,Saint Paul,MN,55104,44.9516643,-93.1629063,Mathematics,,,,,2006,1/1/2006
Legal Professions,Saint Paul,MN,55104,44.9516643,-93.1629063,Political Science,Women's and Gender Studies,,,,2015,1/1/2015
Legal Professions,Saint Paul,MN,55104,44.9516643,-93.1629063,Economics,,,,,2005,1/1/2005
Legal Professions,Saint Paul,MN,55104,44.9516643,-93.1629063,Psychology,,,,,1970,1/1/1970
Legal Professions,Saint Paul,MN,55104,44.9516643,-93.1629063,Economics,"Science, Technology, and Public Policy",,,,1983,1/1/1983
Legal Professions,Saint Paul,MN,55104,44.9516643,-93.1629063,Biology,,,,,1964,1/1/1964
Legal Professions,Saint Paul,MN,55104,44.9516643,-93.1629063,Political Science,,,,,2005,1/1/2005
Legal Professions,St. Paul,MN,55104,44.9516643,-93.1629063,History,,,,,1977,1/1/1977
"Libraries, Archives, and Museums",Saint Paul,MN,55104,44.9516643,-93.1629063,No Major,,,,,1960,1/1/1960
"Libraries, Archives, and Museums",St. Paul,MN,55104,44.9516643,-93.1629063,Theater Arts,,,,,1988,1/1/1988
Marketing,Saint Paul,MN,55104,44.9516643,-93.1629063,English,,,,,1989,1/1/1989
Marketing,Saint Paul,MN,55104,44.9516643,-93.1629063,Geology,,,,,1998,1/1/1998
Marketing,Saint Paul,MN,55104,44.9516643,-93.1629063,Political Science,,,,,1979,1/1/1979
Other,Saint Paul,MN,55104,44.9516643,-93.1629063,Art History,Psychology,,,,1992,1/1/1992
Other,Saint Paul,MN,55104,44.9516643,-93.1629063,Biology,,,,,2002,1/1/2002
Performing Arts,Saint Paul,MN,55104,44.9516643,-93.1629063,Philosophy,,,,,1996,1/1/1996
Performing Arts,Saint Paul,MN,55104,44.9516643,-93.1629063,Biology,,,,,2004,1/1/2004
Planning,St. Paul,MN,55104,44.9516643,-93.1629063,Psychology,Computer Science,,,,1988,1/1/1988
Public Service,Saint Paul,MN,55104,44.9516643,-93.1629063,Psychology,,,,,1979,1/1/1979
Research and Development,Saint Paul,MN,55104,44.9516643,-93.1629063,Political Science,,,,,1963,1/1/1963
Research and Development,Saint Paul,MN,55104,44.9516643,-93.1629063,History,,,,,1983,1/1/1983
Sciences,Saint Paul,MN,55104,44.9516643,-93.1629063,Chemistry,,,,,1990,1/1/1990
Sciences,St. Paul,MN,55104,44.9516643,-93.1629063,Biology,,,,,1980,1/1/1980
Service/Hospitality,Saint Paul,MN,55104,44.9516643,-93.1629063,Undecided,English,,,,1986,1/1/1986
Service/Hospitality,Saint Paul,MN,55104,44.9516643,-93.1629063,Chemistry,,,,,1984,1/1/1984
Social Service,Saint Paul,MN,55104,44.9516643,-93.1629063,African/African-American Studies,African/African-American Studies,,,,1993,1/1/1993
Social Service,Saint Paul,MN,55104,44.9516643,-93.1629063,English,,,,,1988,1/1/1988
Social Service,St. Paul,MN,55104,44.9516643,-93.1629063,English,,,,,1986,1/1/1986
Sports,Saint Paul,MN,55104,44.9516643,-93.1629063,Sociology,Anthropology,Media Studies,,,1997,1/1/1997
Volunteering,Saint Paul,MN,55104,44.9516643,-93.1629063,French,,,,,1986,1/1/1986
